record_id,Amount,fraud_score,decision,signal_features,local_signals,threshold,analyst_explanation
42009,112.33,0.999530528718988,Review,"V14, V12, V17",V14=-8.226 (SHAP contribution +0.126); V12=-7.347 (SHAP contribution +0.074); V17=-8.816 (SHAP contribution +0.071),0.5,Record ID 42009 needs manual review. Fraud score 1.000 exceeds the review threshold 0.50; transaction amount 112.33. Local model signals: V14=-8.226 (SHAP contribution +0.126); V12=-7.347 (SHAP contribution +0.074); V17=-8.816 (SHAP contribution +0.071).
44556,1.0,0.9995196036145034,Review,"V14, V10, V17",V14=-7.246 (SHAP contribution +0.129); V10=-5.700 (SHAP contribution +0.077); V17=-8.852 (SHAP contribution +0.070),0.5,Record ID: 44556 needs manual review; fraud score is 1.000 and review threshold is 0.50. Transaction amount is 1.00. Local model signals: V14=-7.246 (SHAP contribution +0.129); V10=-5.700 (SHAP contribution +0.077); V17=-8.852 (SHAP contribution +0.070).
119781,124.53,0.9995179541387764,Review,"V14, V10, V12",V14=-7.495 (SHAP contribution +0.133); V10=-5.516 (SHAP contribution +0.079); V12=-7.128 (SHAP contribution +0.075),0.5,Record ID 119781 requires manual review because the fraud score 1.000 exceeds the review threshold 0.50. Transaction amount is 124.53 and the top three local model signals are V14=-7.495 (SHAP contribution +0.133); V10=-5.516 (SHAP contribution +0.079); V12=-7.128 (SHAP contribution +0.075).
143728,1.0,0.9995174795885426,Review,"V14, V10, V12",V14=-8.604 (SHAP contribution +0.130); V10=-6.213 (SHAP contribution +0.079); V12=-6.653 (SHAP contribution +0.074),0.5,Record 143728 needs manual review; fraud score 1.000 exceeds the review threshold 0.50. Local model signals: V14=-8.604 (SHAP contribution +0.130); V10=-6.213 (SHAP contribution +0.079); V12=-6.653 (SHAP contribution +0.074). Transaction amount: 1.00.
150665,209.65,0.999513528385224,Review,"V14, V10, V12",V14=-11.030 (SHAP contribution +0.130); V10=-11.092 (SHAP contribution +0.076); V12=-17.150 (SHAP contribution +0.073),0.5,Record ID 150665 needs manual review: fraud score 1.000 exceeds the review threshold 0.50. Transaction amount 209.65; local model signals: V14=-11.030 (SHAP contribution +0.130); V10=-11.092 (SHAP contribution +0.076); V12=-17.150 (SHAP contribution +0.073).
150647,8.54,0.9995116788117155,Review,"V14, V10, V12",V14=-15.623 (SHAP contribution +0.131); V10=-11.235 (SHAP contribution +0.076); V12=-18.554 (SHAP contribution +0.075),0.5,Record 150647 (transaction amount 8.54) needs manual review; the fraud score is 1.000 and the review threshold is 0.50. Local model signals: V14=-15.623 (SHAP contribution +0.131); V10=-11.235 (SHAP contribution +0.076); V12=-18.554 (SHAP contribution +0.075).
42769,118.3,0.9995101853162329,Review,"V14, V12, V10",V14=-13.695 (SHAP contribution +0.126); V12=-13.064 (SHAP contribution +0.078); V10=-12.806 (SHAP contribution +0.076),0.5,"Record ID 42769 with transaction amount 118.30 has a fraud score of 1.000 which exceeds the review threshold of 0.50, so the record needs manual review.  
Local model signals: V14=-13.695 (SHAP contribution +0.126); V12=-13.064 (SHAP contribution +0.078); V10=-12.806 (SHAP contribution +0.076)."
150663,316.06,0.9995101853162329,Review,"V14, V10, V12",V14=-14.094 (SHAP contribution +0.131); V10=-13.321 (SHAP contribution +0.079); V12=-17.003 (SHAP contribution +0.076),0.5,"Record ID: 150663 has a fraud score of 1.000, which exceeds the review threshold of 0.50, so the record needs manual review. Transaction amount: 316.06. Local model signals: V14=-14.094 (SHAP contribution +0.131); V10=-13.321 (SHAP contribution +0.079); V12=-17.003 (SHAP contribution +0.076)."
42756,0.0,0.9995067885060798,Review,"V14, V10, V12",V14=-13.779 (SHAP contribution +0.122); V10=-12.888 (SHAP contribution +0.080); V12=-13.212 (SHAP contribution +0.078),0.5,"Record ID: 42756 needs manual review.  
Fraud score: 1.000; review threshold: 0.50; transaction amount: 0.00.  
Local model signals: V14=-13.779 (SHAP contribution +0.122); V10=-12.888 (SHAP contribution +0.080); V12=-13.212 (SHAP contribution +0.078)."
42696,88.23,0.9995066644512515,Review,"V14, V12, V10",V14=-14.107 (SHAP contribution +0.129); V12=-13.743 (SHAP contribution +0.078); V10=-12.265 (SHAP contribution +0.076),0.5,Record ID: 42696 needs manual review; Fraud score: 1.000 and Review threshold: 0.50. Transaction amount: 88.23; Local model signals: V14=-14.107 (SHAP contribution +0.129); V12=-13.743 (SHAP contribution +0.078); V10=-12.265 (SHAP contribution +0.076).
